epoch,precision,learning_rate,epoch_time_seconds,train_loss,train_acc,train_correct,train_samples,test_loss,test_acc,test_correct,test_samples
1,fp16,8.0001e-06,22.491615,295.467,12.876,6438,50000,0.029,17.2,1720,10000
2,fp16,8.0002e-06,18.588024,283.173,18.616,9308,50000,0.028,20.77,2077,10000
3,fp16,8.00031e-06,18.611804,276.332,21.78,10890,50000,0.028,22.85,2285,10000
4,fp16,8.00041e-06,18.594363,270.668,23.528,11764,50000,0.027,24.4,2440,10000
5,fp16,8.00051e-06,18.601195,265.043,25.304,12652,50000,0.026,25.78,2578,10000
6,fp16,0.2,18.43082,278.221,26.318,13159,50000,0.017,37.16,3716,10000
7,fp16,0.2,18.46175,206.894,40.07,20035,50000,0.019,42.02,4202,10000
8,fp16,0.2,18.487642,179.072,48.954,24477,50000,0.019,51.3,5130,10000
9,fp16,0.2,18.500942,150.042,57.98,28990,50000,0.012,57.86,5786,10000
10,fp16,0.2,18.484372,127.777,64.738,32369,50000,0.016,60.79,6079,10000
11,fp16,0.2,18.480593,110.497,69.832,34916,50000,0.014,65.82,6582,10000
12,fp16,0.2,18.499608,99.272,73.162,36581,50000,0.013,66.05,6605,10000
13,fp16,0.2,18.464598,91.451,75.438,37719,50000,0.014,60.85,6085,10000
14,fp16,0.2,18.486944,86.783,76.762,38381,50000,0.01,75.72,7572,10000
15,fp16,0.2,18.486345,82.998,77.894,38947,50000,0.006,76.59,7659,10000
16,fp16,0.02,18.481454,54.923,85.358,42679,50000,0.004,86.39,8639,10000
17,fp16,0.02,18.499432,46.234,87.596,43798,50000,0.004,87.44,8744,10000
18,fp16,0.02,18.49866,42.053,88.596,44298,50000,0.003,87.54,8754,10000
19,fp16,0.02,18.489834,39.562,89.266,44633,50000,0.004,87.72,8772,10000
20,fp16,0.02,18.473562,37.139,89.908,44954,50000,0.004,87.3,8730,10000
21,fp16,0.02,18.508108,35.697,90.3,45150,50000,0.004,87.84,8784,10000
22,fp16,0.02,18.463969,34.053,90.78,45390,50000,0.005,87.1,8710,10000
23,fp16,0.02,18.492987,32.049,91.258,45629,50000,0.005,87.85,8785,10000
24,fp16,0.02,18.455408,30.517,91.586,45793,50000,0.004,87.65,8765,10000
25,fp16,0.02,18.47319,30.21,91.784,45892,50000,0.005,87.58,8758,10000
26,fp16,0.002,18.497782,21.866,94.294,47147,50000,0.004,90.13,9013,10000
27,fp16,0.002,18.500176,18.632,95.172,47586,50000,0.004,90.8,9080,10000
28,fp16,0.002,18.490111,17.312,95.536,47768,50000,0.004,91.01,9101,10000
29,fp16,0.002,18.452033,16.171,95.832,47916,50000,0.004,90.88,9088,10000
30,fp16,0.002,18.473944,15.278,96.018,48009,50000,0.005,90.83,9083,10000
31,fp16,0.002,18.431922,14.384,96.304,48152,50000,0.004,90.93,9093,10000
32,fp16,0.002,18.498737,13.702,96.492,48246,50000,0.004,91.16,9116,10000
33,fp16,0.002,18.480788,13.088,96.674,48337,50000,0.004,90.83,9083,10000
34,fp16,0.002,18.448666,12.256,96.85,48425,50000,0.004,90.84,9084,10000
35,fp16,0.002,18.464941,11.718,96.996,48498,50000,0.004,91.08,9108,10000
36,fp16,0.002,18.481816,11.236,97.138,48569,50000,0.004,91.35,9135,10000
37,fp16,0.002,18.439474,10.667,97.268,48634,50000,0.006,91.09,9109,10000
38,fp16,0.002,18.466886,10.312,97.294,48647,50000,0.005,91.21,9121,10000
39,fp16,0.002,18.46724,9.493,97.61,48805,50000,0.006,91.1,9110,10000
40,fp16,0.002,18.449438,9.035,97.738,48869,50000,0.005,90.82,9082,10000
41,fp16,0.002,18.457875,8.466,97.922,48961,50000,0.006,90.88,9088,10000
42,fp16,0.002,18.451163,8.227,97.918,48959,50000,0.005,91.11,9111,10000
43,fp16,0.002,18.464748,7.822,98.046,49023,50000,0.005,90.86,9086,10000
44,fp16,0.002,18.458551,7.342,98.18,49090,50000,0.007,91.24,9124,10000
45,fp16,0.002,18.467622,6.964,98.276,49138,50000,0.006,91.03,9103,10000
46,fp16,0.002,18.458902,6.583,98.382,49191,50000,0.005,91.1,9110,10000
47,fp16,0.002,18.472111,6.109,98.558,49279,50000,0.006,91.03,9103,10000
48,fp16,0.002,18.470789,5.986,98.492,49246,50000,0.005,91.04,9104,10000
49,fp16,0.002,18.466429,5.75,98.612,49306,50000,0.004,91.04,9104,10000
50,fp16,0.002,18.462022,5.357,98.67,49335,50000,0.006,91.21,9121,10000
51,fp16,0.002,18.457569,5.439,98.68,49340,50000,0.004,91.03,9103,10000
52,fp16,0.002,18.47543,5.149,98.756,49378,50000,0.005,91.1,9110,10000
53,fp16,0.002,18.471621,4.715,98.9,49450,50000,0.004,90.98,9098,10000
54,fp16,0.002,18.465558,4.806,98.864,49432,50000,0.005,91.17,9117,10000
55,fp16,0.002,18.46851,4.318,98.994,49497,50000,0.006,91.07,9107,10000
56,fp16,0.0002,18.510522,3.554,99.228,49614,50000,0.005,91.4,9140,10000
57,fp16,0.0002,18.471733,3.149,99.346,49673,50000,0.006,91.31,9131,10000
58,fp16,0.0002,18.505139,3.029,99.39,49695,50000,0.005,91.5,9150,10000
59,fp16,0.0002,18.46446,2.863,99.464,49732,50000,0.005,91.38,9138,10000
60,fp16,0.0002,18.442323,2.762,99.472,49736,50000,0.005,91.41,9141,10000
61,fp16,0.0002,18.463024,2.667,99.538,49769,50000,0.005,91.33,9133,10000
62,fp16,0.0002,18.465357,2.651,99.522,49761,50000,0.006,91.35,9135,10000
63,fp16,0.0002,18.465338,2.582,99.544,49772,50000,0.005,91.2,9120,10000
64,fp16,0.0002,18.47173,2.553,99.538,49769,50000,0.005,91.38,9138,10000
65,fp16,0.0002,18.45322,2.517,99.538,49769,50000,0.005,91.37,9137,10000
66,fp16,0.0002,18.474093,2.469,99.548,49774,50000,0.005,91.5,9150,10000
67,fp16,0.0002,18.461214,2.539,99.504,49752,50000,0.005,91.38,9138,10000
68,fp16,0.0002,18.470296,2.545,99.518,49759,50000,0.005,91.41,9141,10000
69,fp16,0.0002,18.478175,2.43,99.574,49787,50000,0.006,91.44,9144,10000
70,fp16,0.0002,18.510412,2.311,99.586,49793,50000,0.005,91.55,9155,10000
71,fp16,0.0002,18.481928,2.237,99.594,49797,50000,0.005,91.5,9150,10000
72,fp16,0.0002,18.46351,2.3,99.602,49801,50000,0.005,91.48,9148,10000
73,fp16,0.0002,18.465968,2.228,99.62,49810,50000,0.005,91.5,9150,10000
74,fp16,0.0002,18.495255,2.197,99.61,49805,50000,0.005,91.62,9162,10000
75,fp16,0.0002,18.456426,2.175,99.65,49825,50000,0.005,91.47,9147,10000
76,fp16,0.0002,18.443819,2.242,99.608,49804,50000,0.005,91.41,9141,10000
77,fp16,0.0002,18.482535,2.189,99.612,49806,50000,0.005,91.45,9145,10000
78,fp16,0.0002,18.456823,2.04,99.674,49837,50000,0.005,91.57,9157,10000
79,fp16,0.0002,18.445387,2.066,99.668,49834,50000,0.005,91.48,9148,10000
80,fp16,0.0002,18.468475,2.079,99.63,49815,50000,0.005,91.44,9144,10000
81,fp16,0.0002,18.471763,1.912,99.708,49854,50000,0.005,91.6,9160,10000
82,fp16,0.0002,18.467885,2.052,99.644,49822,50000,0.005,91.51,9151,10000
83,fp16,0.0002,18.474448,2.0,99.664,49832,50000,0.005,91.53,9153,10000
84,fp16,0.0002,18.456524,2.084,99.61,49805,50000,0.005,91.53,9153,10000
85,fp16,0.0002,18.459565,1.992,99.646,49823,50000,0.005,91.59,9159,10000
86,fp16,0.0002,18.498752,1.953,99.672,49836,50000,0.005,91.76,9176,10000
87,fp16,0.0002,18.477025,1.858,99.716,49858,50000,0.005,91.56,9156,10000
88,fp16,0.0002,18.466172,1.986,99.648,49824,50000,0.005,91.56,9156,10000
89,fp16,0.0002,18.464941,1.864,99.714,49857,50000,0.005,91.56,9156,10000
90,fp16,0.0002,18.457449,1.814,99.71,49855,50000,0.005,91.65,9165,10000
91,fp16,0.0002,18.468895,1.937,99.69,49845,50000,0.005,91.63,9163,10000
92,fp16,0.0002,18.479457,1.926,99.654,49827,50000,0.006,91.53,9153,10000
93,fp16,0.0002,18.463609,1.845,99.716,49858,50000,0.005,91.51,9151,10000
94,fp16,0.0002,18.459036,1.764,99.692,49846,50000,0.006,91.56,9156,10000
95,fp16,0.0002,18.45267,1.808,99.728,49864,50000,0.005,91.5,9150,10000
96,fp16,0.0002,18.458822,1.814,99.726,49863,50000,0.006,91.63,9163,10000
97,fp16,0.0002,18.465906,1.769,99.734,49867,50000,0.005,91.55,9155,10000
98,fp16,0.0002,18.467071,1.728,99.744,49872,50000,0.005,91.56,9156,10000
99,fp16,0.0002,18.465058,1.805,99.722,49861,50000,0.006,91.56,9156,10000
100,fp16,0.0002,18.457758,1.717,99.736,49868,50000,0.005,91.68,9168,10000
101,fp16,0.0002,18.499509,1.65,99.74,49870,50000,0.005,91.82,9182,10000
102,fp16,0.0002,18.458057,1.669,99.752,49876,50000,0.005,91.71,9171,10000
103,fp16,0.0002,18.464803,1.656,99.766,49883,50000,0.006,91.63,9163,10000
104,fp16,0.0002,18.446859,1.623,99.74,49870,50000,0.006,91.73,9173,10000
105,fp16,0.0002,18.453435,1.63,99.76,49880,50000,0.006,91.71,9171,10000
106,fp16,2e-05,18.445858,1.642,99.756,49878,50000,0.006,91.68,9168,10000
107,fp16,2e-05,18.445272,1.623,99.728,49864,50000,0.006,91.71,9171,10000
108,fp16,2e-05,18.450381,1.61,99.742,49871,50000,0.006,91.61,9161,10000
109,fp16,2e-05,18.451289,1.571,99.77,49885,50000,0.006,91.7,9170,10000
110,fp16,2e-05,18.444951,1.558,99.776,49888,50000,0.006,91.66,9166,10000
111,fp16,2e-05,18.43782,1.607,99.756,49878,50000,0.006,91.72,9172,10000
112,fp16,2e-05,18.43882,1.576,99.752,49876,50000,0.006,91.74,9174,10000
113,fp16,2e-05,18.450931,1.699,99.748,49874,50000,0.005,91.67,9167,10000
114,fp16,2e-05,18.457095,1.608,99.766,49883,50000,0.006,91.77,9177,10000
115,fp16,2e-05,18.453424,1.595,99.784,49892,50000,0.006,91.63,9163,10000
116,fp16,2e-05,18.444909,1.606,99.772,49886,50000,0.006,91.74,9174,10000
117,fp16,2e-05,18.448416,1.567,99.776,49888,50000,0.006,91.76,9176,10000
118,fp16,2e-05,18.459995,1.617,99.748,49874,50000,0.006,91.76,9176,10000
119,fp16,2e-05,18.465294,1.548,99.76,49880,50000,0.006,91.7,9170,10000
120,fp16,2e-05,18.447291,1.546,99.778,49889,50000,0.006,91.67,9167,10000
121,fp16,2e-05,18.468689,1.677,99.764,49882,50000,0.006,91.78,9178,10000
122,fp16,2e-05,18.455288,1.502,99.784,49892,50000,0.006,91.71,9171,10000
123,fp16,2e-05,18.453718,1.517,99.784,49892,50000,0.006,91.6,9160,10000
124,fp16,2e-05,18.4615,1.536,99.77,49885,50000,0.006,91.77,9177,10000
125,fp16,2e-05,18.448491,1.522,99.754,49877,50000,0.006,91.68,9168,10000
126,fp16,2e-05,18.445995,1.584,99.764,49882,50000,0.006,91.7,9170,10000
127,fp16,2e-05,18.447263,1.49,99.808,49904,50000,0.006,91.66,9166,10000
