epoch,precision,epoch_time_seconds,learning_rate,train_loss,train_acc,train_correct,train_samples,test_loss,test_acc,test_correct,test_samples
1,fp32,,8.0001e-06,2.319,13.536,6768,50000,0.028,17.22,1722,10000
2,fp32,,8.0002e-06,2.21,18.984,9492,50000,0.028,20.67,2067,10000
3,fp32,,8.00031e-06,2.15,21.184,10592,50000,0.027,22.35,2235,10000
4,fp32,,8.00041e-06,2.102,23.1,11550,50000,0.027,24.35,2435,10000
5,fp32,,8.00051e-06,2.06,24.412,12206,50000,0.025,25.75,2575,10000
6,fp32,,0.2,2.217,24.692,12346,50000,0.022,33.81,3381,10000
7,fp32,,0.2,1.665,37.83,18915,50000,0.022,41.65,4165,10000
8,fp32,,0.2,1.465,46.106,23053,50000,0.017,48.24,4824,10000
9,fp32,,0.2,1.215,56.312,28156,50000,0.021,57.9,5790,10000
10,fp32,,0.2,1.017,63.742,31871,50000,0.014,65.53,6553,10000
11,fp32,,0.2,0.868,69.778,34889,50000,0.015,63.24,6324,10000
12,fp32,,0.2,0.78,72.948,36474,50000,0.012,66.01,6601,10000
13,fp32,,0.2,0.726,74.994,37497,50000,0.011,72.27,7227,10000
14,fp32,,0.2,0.689,76.236,38118,50000,0.014,72.25,7225,10000
15,fp32,,0.2,0.666,77.024,38512,50000,0.025,54.68,5468,10000
16,fp32,,0.02,0.447,84.8,42400,50000,0.006,85.7,8570,10000
17,fp32,,0.02,0.376,87.048,43524,50000,0.001,86.04,8604,10000
18,fp32,,0.02,0.347,87.946,43973,50000,0.004,86.97,8697,10000
19,fp32,,0.02,0.326,88.722,44361,50000,0.002,87.25,8725,10000
20,fp32,,0.02,0.304,89.496,44748,50000,0.001,87.19,8719,10000
21,fp32,,0.02,0.289,89.972,44986,50000,0.007,87.3,8730,10000
22,fp32,,0.02,0.279,90.358,45179,50000,0.002,88.0,8800,10000
23,fp32,,0.02,0.268,90.742,45371,50000,0.007,87.66,8766,10000
24,fp32,,0.02,0.258,91.062,45531,50000,0.003,88.16,8816,10000
25,fp32,,0.02,0.249,91.338,45669,50000,0.004,87.51,8751,10000
26,fp32,,0.002,0.185,93.826,46913,50000,0.006,90.4,9040,10000
27,fp32,,0.002,0.161,94.652,47326,50000,0.004,90.4,9040,10000
28,fp32,,0.002,0.15,94.994,47497,50000,0.001,90.51,9051,10000
29,fp32,,0.002,0.144,95.18,47590,50000,0.005,90.43,9043,10000
30,fp32,,0.002,0.135,95.596,47798,50000,0.005,90.81,9081,10000
