epoch,learning_rate,train_loss,train_acc,train_correct,train_samples,test_loss,test_acc,test_correct,test_samples
1,4.00005e-06,2.303,10.06,5030,50000,0.029,10.0,1000,10000
2,4.0001e-06,2.303,10.084,5042,50000,0.029,10.0,1000,10000
3,4.00015e-06,2.303,10.052,5026,50000,0.029,10.0,1000,10000
4,4.0002e-06,2.303,10.224,5112,50000,0.029,10.0,1000,10000
5,4.00026e-06,2.303,10.06,5030,50000,0.029,10.0,1000,10000
6,0.1,1.967,24.316,12158,50000,0.018,34.59,3459,10000
7,0.1,1.625,39.338,19669,50000,0.021,49.35,4935,10000
8,0.1,1.444,48.072,24036,50000,0.013,57.17,5717,10000
9,0.1,1.334,52.988,26494,50000,0.016,60.02,6002,10000
10,0.1,1.247,56.97,28485,50000,0.012,59.49,5949,10000
11,0.1,1.185,59.588,29794,50000,0.014,61.11,6111,10000
12,0.1,1.142,61.666,30833,50000,0.016,67.3,6730,10000
13,0.1,1.109,62.722,31361,50000,0.018,64.94,6494,10000
14,0.1,1.081,63.998,31999,50000,0.009,64.46,6446,10000
15,0.1,1.053,65.134,32567,50000,0.012,64.37,6437,10000
16,0.01,0.8,73.148,36574,50000,0.007,75.8,7580,10000
17,0.01,0.715,75.894,37947,50000,0.008,77.23,7723,10000
18,0.01,0.682,76.758,38379,50000,0.007,77.68,7768,10000
19,0.01,0.655,77.812,38906,50000,0.006,78.11,7811,10000
20,0.01,0.637,78.446,39223,50000,0.007,78.35,7835,10000
21,0.01,0.616,78.836,39418,50000,0.006,78.68,7868,10000
22,0.01,0.598,79.692,39846,50000,0.005,79.36,7936,10000
23,0.01,0.583,80.138,40069,50000,0.005,79.77,7977,10000
24,0.01,0.573,80.216,40108,50000,0.004,79.44,7944,10000
25,0.01,0.558,80.842,40421,50000,0.004,79.99,7999,10000
26,0.001,0.514,82.452,41226,50000,0.004,81.24,8124,10000
27,0.001,0.503,82.684,41342,50000,0.003,81.38,8138,10000
28,0.001,0.498,82.826,41413,50000,0.003,80.94,8094,10000
29,0.001,0.495,83.19,41595,50000,0.004,81.46,8146,10000
30,0.001,0.488,83.344,41672,50000,0.003,81.51,8151,10000
31,0.001,0.483,83.482,41741,50000,0.003,81.44,8144,10000
32,0.001,0.49,83.116,41558,50000,0.003,81.35,8135,10000
33,0.001,0.481,83.37,41685,50000,0.003,81.77,8177,10000
34,0.001,0.476,83.772,41886,50000,0.003,81.72,8172,10000
35,0.001,0.474,83.826,41913,50000,0.004,81.81,8181,10000
36,0.001,0.475,83.772,41886,50000,0.004,81.66,8166,10000
37,0.001,0.47,83.82,41910,50000,0.004,82.01,8201,10000
38,0.001,0.464,84.094,42047,50000,0.003,81.9,8190,10000
39,0.001,0.463,83.978,41989,50000,0.004,81.83,8183,10000
40,0.001,0.464,84.07,42035,50000,0.003,81.99,8199,10000
41,0.001,0.457,84.37,42185,50000,0.004,82.08,8208,10000
42,0.001,0.459,84.352,42176,50000,0.003,82.14,8214,10000
43,0.001,0.454,84.4,42200,50000,0.003,81.89,8189,10000
44,0.001,0.452,84.454,42227,50000,0.003,82.26,8226,10000
45,0.001,0.451,84.498,42249,50000,0.003,82.16,8216,10000
46,0.001,0.451,84.396,42198,50000,0.003,82.42,8242,10000
47,0.001,0.445,84.528,42264,50000,0.004,82.31,8231,10000
48,0.001,0.441,84.816,42408,50000,0.004,82.49,8249,10000
49,0.001,0.444,84.672,42336,50000,0.003,82.42,8242,10000
50,0.001,0.438,84.828,42414,50000,0.003,82.48,8248,10000
